Date, Open, High, Low, Close, Volume
06/25/19, 10.26, 10.28, 10.10, 10.22, 35496180
06/24/19, 10.46, 10.53, 10.27, 10.28, 36598781
06/21/19, 10.665, 10.71, 10.45, 10.48, 65575977
06/20/19, 10.47, 10.70, 10.465, 10.63, 65961484
06/19/19, 10.47, 10.61, 10.33, 10.34, 60616711
06/18/19, 10.11, 10.43, 10.09, 10.42, 73563562
06/17/19, 10.20, 10.24, 10.02, 10.05, 46050246
06/14/19, 10.28, 10.34, 10.18, 10.23, 34355047
06/13/19, 10.36, 10.52, 10.25, 10.31, 62115738
06/12/19, 10.08, 10.39, 10.02, 10.28, 54970070
06/11/19, 10.10, 10.20, 9.96, 10.12, 38957672
06/10/19, 10.05, 10.35, 10.00, 10.05, 52267141
06/07/19, 9.90, 10.045, 9.815, 9.98, 41084566
06/06/19, 9.89, 10.00, 9.77, 9.92, 38528008
06/05/19, 10.07, 10.09, 9.82, 9.89, 41163379
06/04/19, 9.61, 10.00, 9.585, 10.00, 61404711
06/03/19, 9.30, 9.54, 9.25, 9.53, 47273980
05/31/19, 9.34, 9.47, 9.30, 9.44, 46337859
05/30/19, 9.37, 9.51, 9.29, 9.47, 50531398
05/29/19, 9.31, 9.39, 9.15, 9.37, 44587961
05/28/19, 9.41, 9.54, 9.27, 9.36, 72211711
05/24/19, 9.62, 9.675, 9.435, 9.45, 47533059
05/23/19, 9.81, 9.8265, 9.47, 9.56, 56841500
05/22/19, 9.95, 10.12, 9.88, 9.90, 51644070
05/21/19, 9.96, 9.96, 9.80, 9.96, 60413441
05/20/19, 9.91, 10.06, 9.78, 9.88, 52207129
05/17/19, 10.01, 10.16, 9.98, 10.00, 37062480
05/16/19, 10.22, 10.29, 10.06, 10.13, 54505512
05/15/19, 10.15, 10.39, 10.115, 10.26, 53716379
05/14/19, 9.94, 10.35, 9.91, 10.32, 70520492
05/13/19, 9.85, 10.065, 9.82, 9.87, 60136020
05/10/19, 10.02, 10.18, 9.77, 10.13, 63130238
05/09/19, 10.11, 10.21, 10.02, 10.04, 59499848
05/08/19, 10.08, 10.25, 10.08, 10.16, 47349340
05/07/19, 10.34, 10.36, 10.06, 10.11, 56894191
05/06/19, 10.24, 10.49, 10.21, 10.43, 43631820
05/03/19, 10.30, 10.50, 10.24, 10.50, 68815523
05/02/19, 10.15, 10.40, 10.08, 10.25, 79225844
05/01/19, 10.15, 10.42, 10.09, 10.10, 99374438
04/30/19, 10.23, 10.53, 9.96, 10.17, 177185500
04/29/19, 9.57, 9.74, 9.54, 9.73, 66009500
04/26/19, 9.12, 9.59, 9.11, 9.57, 74289719
04/25/19, 9.22, 9.23, 8.98, 9.12, 62378000
04/24/19, 9.31, 9.35, 9.21, 9.32, 28785061
04/23/19, 9.30, 9.37, 9.22, 9.33, 40504648
04/22/19, 9.25, 9.35, 9.18, 9.32, 67122516
04/18/19, 9.13, 9.35, 9.095, 9.35, 51509078
