Date, Open, High, Low, Close, Volume
06/25/19, 21.82, 21.82, 21.18, 21.30, 8098421
06/24/19, 22.15, 22.19, 21.68, 21.80, 6701248
06/21/19, 21.98, 22.445, 21.70, 22.30, 9181765
06/20/19, 22.33, 22.35, 21.615, 21.92, 7398062
06/19/19, 21.90, 22.24, 21.58, 22.14, 8756218
06/18/19, 21.75, 22.20, 21.55, 21.90, 8347294
06/17/19, 21.50, 22.09, 21.32, 21.72, 7624689
06/14/19, 21.75, 21.75, 21.07, 21.56, 9284330
06/13/19, 21.16, 21.905, 21.1315, 21.77, 9894483
06/12/19, 21.89, 22.01, 21.26, 21.45, 8994480
06/11/19, 21.54, 21.93, 21.51, 21.92, 9250344
06/10/19, 20.61, 21.70, 20.60, 21.67, 14771610
06/07/19, 20.50, 20.59, 20.21, 20.43, 10144780
06/06/19, 21.00, 21.00, 20.02, 20.48, 14442170
06/05/19, 21.70, 21.74, 20.96, 21.06, 7458204
06/04/19, 21.27, 21.73, 21.27, 21.62, 13136410
06/03/19, 20.54, 21.30, 20.49, 21.16, 9660549
05/31/19, 20.57, 20.65, 20.05, 20.57, 11302740
05/30/19, 21.05, 21.30, 20.69, 20.75, 7866696
05/29/19, 20.85, 21.14, 20.57, 20.94, 8040050
05/28/19, 21.00, 21.38, 20.91, 21.04, 8088789
05/24/19, 21.32, 21.36, 20.81, 21.01, 9620071
05/23/19, 21.52, 21.64, 21.20, 21.27, 10484030
05/22/19, 21.68, 21.86, 21.43, 21.85, 10947730
05/21/19, 21.19, 21.88, 20.8615, 21.77, 13046780
05/20/19, 21.57, 21.71, 21.23, 21.58, 10821440
05/17/19, 21.36, 22.20, 21.23, 21.77, 12143190
05/16/19, 21.80, 21.9075, 21.35, 21.50, 14595630
05/15/19, 22.25, 22.68, 21.38, 21.70, 33610922
05/14/19, 21.63, 22.02, 21.08, 21.80, 14401010
05/13/19, 22.17, 22.20, 21.43, 21.58, 10852970
05/10/19, 22.54, 22.72, 22.1141, 22.46, 8843200
05/09/19, 22.61, 22.9484, 22.37, 22.70, 6822902
05/08/19, 22.68, 23.12, 22.44, 22.72, 6905666
05/07/19, 23.07, 23.15, 22.60, 22.79, 7553020
05/06/19, 22.98, 23.26, 22.66, 23.20, 7199478
05/03/19, 23.55, 23.62, 23.22, 23.24, 5575066
05/02/19, 23.37, 23.58, 23.215, 23.43, 5330116
05/01/19, 23.64, 23.90, 23.37, 23.37, 8264698
04/30/19, 24.10, 24.15, 23.54, 23.54, 8351415
04/29/19, 24.39, 24.495, 24.00, 24.09, 4691180
