Date, Open, High, Low, Close, Volume
06/25/19, 173.25, 173.39, 171.275, 172.03, 2733265
06/24/19, 173.35, 174.34, 173.34, 173.38, 2711904
06/21/19, 173.75, 174.56, 172.63, 173.35, 4880902
06/20/19, 172.87, 174.28, 171.70, 173.94, 3064186
06/19/19, 171.88, 172.81, 170.54, 170.75, 2777447
06/18/19, 167.85, 172.2666, 167.57, 171.86, 3623040
06/17/19, 167.10, 167.43, 166.4567, 166.78, 1783368
06/14/19, 168.24, 168.25, 166.05, 166.69, 2719182
06/13/19, 169.36, 169.90, 167.87, 168.85, 2141467
06/12/19, 169.87, 170.15, 168.59, 169.01, 2166416
06/11/19, 169.91, 170.36, 168.50, 168.91, 2227253
06/10/19, 168.11, 170.22, 167.87, 168.29, 2257636
06/07/19, 165.56, 167.09, 164.64, 166.61, 2017674
06/06/19, 164.00, 166.35, 162.46, 164.72, 3581835
06/05/19, 165.14, 165.83, 162.88, 163.85, 3161679
06/04/19, 161.73, 165.09, 161.58, 164.29, 3747008
06/03/19, 159.75, 161.50, 159.32, 160.04, 3726881
05/31/19, 159.83, 160.74, 159.63, 159.75, 3521955
05/30/19, 161.40, 162.27, 160.00, 160.58, 2478748
05/29/19, 163.01, 163.80, 160.50, 161.40, 3669087
05/28/19, 166.80, 166.99, 163.35, 163.35, 4875105
05/24/19, 166.34, 167.42, 165.32, 166.09, 2366928
05/23/19, 167.58, 168.30, 164.59, 165.87, 3830288
05/22/19, 167.43, 170.76, 166.46, 169.74, 4504159
05/21/19, 167.01, 167.42, 166.18, 167.30, 4148575
05/20/19, 167.96, 167.96, 165.61, 166.25, 4374976
05/17/19, 170.00, 170.26, 168.43, 169.09, 4595046
05/16/19, 174.39, 174.39, 171.36, 171.81, 4039493
05/15/19, 174.02, 175.65, 173.651, 174.12, 3015543
05/14/19, 174.79, 176.97, 174.51, 175.21, 4013992
05/13/19, 173.935, 174.58, 172.79, 174.07, 5916911
05/10/19, 175.02, 176.33, 173.01, 175.86, 5012341
05/09/19, 177.30, 177.40, 174.18, 175.28, 5098235
05/08/19, 179.51, 180.525, 178.50, 178.59, 2990518
05/07/19, 181.81, 181.90, 177.81, 179.12, 5415556
05/06/19, 182.04, 183.1055, 180.13, 183.04, 6517556
05/03/19, 185.81, 186.685, 184.0886, 185.22, 4747767
05/02/19, 184.50, 186.50, 183.38, 184.75, 5654907
05/01/19, 189.49, 189.71, 185.92, 186.07, 3818525
04/30/19, 190.86, 190.86, 186.5475, 189.51, 4540971
04/29/19, 191.52, 192.19, 189.75, 190.21, 3803436
04/26/19, 190.53, 192.25, 189.36, 191.67, 4491273
04/25/19, 197.54, 198.96, 189.60, 190.72, 14646160
04/24/19, 219.00, 219.75, 218.10, 219.08, 2048899
04/23/19, 218.01, 219.55, 217.18, 219.50, 1561876
04/22/19, 217.30, 219.40, 217.27, 218.54, 1403478
04/18/19, 217.98, 219.67, 217.62, 218.88, 1780159
04/17/19, 217.63, 219.33, 217.175, 217.64, 1977615
04/16/19, 216.59, 217.67, 215.48, 216.90, 1549643
04/15/19, 216.84, 217.36, 214.90, 215.83, 1483313
04/12/19, 215.10, 217.49, 214.35, 217.42, 1922409
04/11/19, 211.71, 213.71, 211.44, 213.53, 1181248
04/10/19, 212.42, 212.71, 210.72, 212.11, 1348780
04/09/19, 214.42, 214.57, 211.82, 211.96, 1516450
04/08/19, 214.71, 215.07, 213.47, 215.02, 1130042
04/05/19, 215.88, 216.49, 214.80, 215.41, 1391097
04/04/19, 213.50, 215.27, 212.325, 215.03, 1560926
04/03/19, 212.95, 213.93, 212.44, 213.13, 1569956
04/02/19, 212.24, 212.70, 211.0027, 212.13, 1413493
04/01/19, 209.89, 212.3901, 209.255, 211.94, 2588445
03/29/19, 209.29, 209.495, 206.20, 207.78, 2858396
03/28/19, 208.00, 208.74, 206.64, 208.53, 1670590
03/27/19, 207.40, 207.942, 205.1288, 207.16, 2003968
03/26/19, 205.00, 207.64, 204.77, 207.24, 1895577
03/25/19, 203.46, 205.47, 202.25, 203.21, 2020649
03/22/19, 208.29, 208.49, 204.4704, 204.66, 2716057
03/21/19, 206.80, 210.16, 205.97, 209.61, 2288068
03/20/19, 209.00, 210.51, 207.29, 208.30, 1734653
03/19/19, 209.10, 210.54, 208.3148, 209.02, 2351597
03/18/19, 208.44, 208.60, 205.6119, 208.49, 1843555
03/15/19, 208.40, 208.66, 206.79, 208.08, 4394759
03/14/19, 206.70, 207.45, 205.73, 207.38, 1793356
03/13/19, 206.83, 207.30, 205.63, 206.66, 2036665
03/12/19, 207.84, 208.39, 205.375, 205.80, 2115092
