21.06.2019@34,1300@33,8000@34,4400@33,3786@1,24M@0,65%
20.06.2019@33,9100@33,4800@33,9900@32,6500@1,26M@3,70%
19.06.2019@32,7000@33,9800@33,9800@32,6400@954,46K@-2,65%
18.06.2019@33,5900@33,5000@34,0700@33,1800@1,02M@1,70%
17.06.2019@33,0300@33,3400@33,5200@32,2100@736,25K@0,40%
14.06.2019@32,9000@34,0500@34,5200@32,8800@1,49M@-3,38%
13.06.2019@34,0500@34,2300@34,3173@32,6410@2,50M@-1,65%
12.06.2019@34,6200@31,4900@34,6800@31,0000@4,84M@12,48%
11.06.2019@30,7800@28,9600@30,9300@28,7500@3,00M@7,81%
10.06.2019@28,5500@27,5900@28,5700@27,5400@1,30M@4,16%
07.06.2019@27,4100@27,9200@28,2500@27,0362@721,93K@-0,76%
06.06.2019@27,6200@27,2400@27,6400@26,6200@1,09M@2,41%
05.06.2019@26,9700@26,6200@27,5000@26,4100@1,59M@1,70%
04.06.2019@26,5200@25,3300@26,5500@25,3200@1,48M@6,08%
03.06.2019@25,0000@25,9800@26,2500@24,3100@1,18M@-2,38%
31.05.2019@25,6100@25,8000@26,4200@25,3100@1,05M@-1,16%
30.05.2019@25,9100@25,6200@26,7300@25,5300@1,26M@1,25%
29.05.2019@25,5900@25,7400@25,8100@24,0500@1,48M@-0,66%
28.05.2019@25,7600@26,6000@27,0100@25,1600@15,80M@-3,16%
24.05.2019@26,6000@26,4600@26,6300@25,6400@1,29M@2,43%
23.05.2019@25,9700@25,9500@26,3550@25,4400@1,13M@-0,92%
22.05.2019@26,2100@26,1800@26,7200@25,9405@1,20M@0,50%
21.05.2019@26,0800@25,0100@26,4300@25,0100@2,11M@5,63%
20.05.2019@24,6900@24,2500@25,0400@23,1900@1,62M@1,06%
17.05.2019@24,4300@24,9500@25,6834@24,2800@1,09M@-3,55%
16.05.2019@25,3300@24,6600@26,0200@24,2100@1,41M@2,30%
15.05.2019@24,7600@23,9000@24,9800@23,7400@1,50M@1,73%
14.05.2019@24,3400@24,1200@25,1300@23,5600@932,00K@2,23%
13.05.2019@23,8100@23,8000@24,0900@22,8000@1,21M@-3,68%
10.05.2019@24,7200@25,2200@26,3500@24,0800@1,36M@-3,25%
09.05.2019@25,5500@23,9500@25,6100@23,7000@1,07M@4,12%
08.05.2019@24,5400@23,7100@25,1400@23,3200@1,24M@4,69%
07.05.2019@23,4400@23,7200@24,2000@23,0900@839,54K@-3,42%
06.05.2019@24,2700@23,5400@24,7300@23,2000@971,57K@-0,90%
03.05.2019@24,4900@23,4300@24,7600@23,1700@2,03M@5,97%
02.05.2019@23,1100@22,2100@23,2500@22,0350@1,22M@4,24%
01.05.2019@22,1700@21,7400@22,3700@21,3200@734,85K@1,79%
30.04.2019@21,7800@21,2900@22,2000@21,0900@896,83K@2,30%
29.04.2019@21,2900@20,9900@21,8417@20,7700@1,10M@1,33%
26.04.2019@21,0100@21,3300@22,4600@20,6400@2,08M@-0,57%
25.04.2019@21,1300@21,6300@22,0400@18,6200@5,04M@-2,72%
24.04.2019@21,7200@24,4000@24,4400@21,5400@4,21M@-11,46%
23.04.2019@24,5300@24,3400@25,0900@24,2650@949,69K@0,82%
22.04.2019@24,3300@24,0400@25,0600@24,0200@1,19M@1,21%
18.04.2019@24,0400@26,0800@26,3350@23,5000@2,03M@-8,00%
17.04.2019@26,1300@26,0700@26,9000@25,2000@1,08M@1,36%
16.04.2019@25,7800@26,5200@27,4200@25,6000@1,26M@-2,79%
15.04.2019@26,5200@25,7100@26,6800@25,5368@1,21M@3,55%
12.04.2019@25,6100@24,6300@25,8400@24,3800@1,27M@4,23%
11.04.2019@24,5700@24,9700@25,2900@24,0500@579,66K@-2,42%
10.04.2019@25,1800@24,4600@25,6000@24,4600@1,02M@3,49%
09.04.2019@24,3300@25,4000@25,6000@23,4300@1,14M@-4,48%
08.04.2019@25,4700@24,8800@25,6063@24,8600@879,33K@2,00%
05.04.2019@24,9700@24,5900@25,5400@24,2501@802,05K@1,46%
04.04.2019@24,6100@24,4000@24,8500@23,9000@737,78K@0,90%
03.04.2019@24,3900@24,8900@25,2500@24,1450@649,35K@-0,97%
02.04.2019@24,6300@25,4600@25,6200@24,2700@591,52K@-3,49%
01.04.2019@25,5200@25,9800@26,2200@25,2200@704,13K@0,00%
29.03.2019@25,5200@25,1300@25,9989@24,5700@1,06M@2,65%
28.03.2019@24,8600@24,2200@24,9500@23,9700@1,58M@2,52%
27.03.2019@24,2500@25,5000@25,7200@23,2200@2,59M@-4,83%
26.03.2019@25,4800@26,2600@27,7100@24,7850@1,85M@-5,17%
